w.length  UV	Blue	Green	D65	Leaf	Flower
300	0.3	0.077	0.125	0.001	0.059	0.009
305	0.394	0.105	0.135	0.009	0.046	0.006
310	0.487	0.132	0.146	0.026	0.041	0.023
315	0.581	0.159	0.155	0.065	0.046	0.004
320	0.675	0.185	0.167	0.113	0.046	0.006
325	0.769	0.208	0.174	0.164	0.048	0.009
330	0.862	0.239	0.18	0.206	0.054	0.027
335	0.956	0.267	0.185	0.226	0.045	0.023
340	1	0.297	0.189	0.237	0.046	0.017
345	0.998	0.314	0.192	0.256	0.045	0.003
350	0.975	0.335	0.194	0.273	0.05	0.005
355	0.9	0.354	0.195	0.284	0.048	0.043
360	0.812	0.372	0.197	0.293	0.045	0.011
365	0.71	0.389	0.198	0.315	0.054	0.014
370	0.618	0.407	0.196	0.332	0.049	0.018
375	0.537	0.43	0.194	0.335	0.053	0.011
380	0.449	0.47	0.188	0.332	0.051	0.022
385	0.362	0.507	0.18	0.352	0.051	0.011
390	0.284	0.57	0.172	0.389	0.053	0.025
395	0.221	0.633	0.165	0.476	0.055	0.008
400	0.173	0.7	0.161	0.579	0.055	0.013
405	0.137	0.751	0.163	0.617	0.057	0.005
410	0.109	0.816	0.165	0.651	0.063	0.007
415	0.086	0.871	0.166	0.671	0.064	0.014
420	0.068	0.914	0.168	0.686	0.067	0.02
425	0.054	0.954	0.178	0.669	0.071	0.005
430	0.043	0.987	0.192	0.671	0.069	0.01
435	0.036	1	0.21	0.729	0.076	0.008
440	0.032	0.993	0.229	0.807	0.081	0.016
445	0.027	0.951	0.248	0.864	0.083	0.006
450	0.025	0.87	0.271	0.912	0.086	0.009
455	0.022	0.779	0.297	0.934	0.088	0.012
460	0.018	0.692	0.325	0.947	0.088	0.007
465	0.015	0.626	0.355	0.946	0.086	0.004
470	0.013	0.544	0.394	0.947	0.084	0.01
475	0.011	0.466	0.439	0.958	0.083	0.005
480	0.009	0.383	0.5	0.973	0.088	0.009
485	0.007	0.292	0.545	0.952	0.087	0.008
490	0.005	0.208	0.593	0.939	0.09	0.013
495	0.004	0.144	0.639	0.944	0.09	0.02
500	0.002	0.102	0.677	0.956	0.098	0.035
505	0.002	0.076	0.72	0.959	0.102	0.055
510	0.002	0.058	0.766	0.96	0.109	0.093
515	0.001	0.046	0.805	0.957	0.119	0.125
520	0.001	0.036	0.841	0.953	0.132	0.167
525	0.001	0.028	0.885	0.975	0.147	0.206
530	0	0.018	0.925	0.992	0.159	0.241
535	0	0.01	0.954	0.992	0.165	0.267
540	0	0.004	0.97	0.986	0.166	0.284
545	0	0.001	0.986	0.993	0.17	0.299
550	0	0	0.994	0.996	0.175	0.309
555	0	0	0.999	1	0.177	0.322
560	0	0	1	0.979	0.172	0.33
565	0	0	0.977	0.969	0.163	0.339
570	0	0	0.911	0.963	0.155	0.346
575	0	0	0.806	0.966	0.148	0.346
580	0	0	0.681	0.971	0.144	0.351
585	0	0	0.559	0.943	0.14	0.347
590	0	0	0.45	0.923	0.134	0.354
595	0	0	0.355	0.929	0.13	0.364
600	0	0	0.271	0.944	0.128	0.357
605	0	0	0.204	0.95	0.125	0.366
610	0	0	0.152	0.954	0.124	0.369
615	0	0	0.114	0.953	0.12	0.367
620	0	0	0.086	0.951	0.116	0.359
625	0	0	0.064	0.934	0.114	0.355
630	0	0	0.047	0.923	0.116	0.365
635	0	0	0.034	0.927	0.114	0.359
640	0	0	0.023	0.937	0.112	0.36
645	0	0	0.016	0.923	0.108	0.351
650	0	0	0.012	0.913	0.101	0.339
655	0	0	0.01	0.917	0.098	0.342
660	0	0	0.01	0.925	0.099	0.337
665	0	0	0.009	0.945	0.097	0.326
670	0	0	0.008	0.957	0.095	0.306
675	0	0	0.007	0.947	0.095	0.303
680	0	0	0.006	0.931	0.099	0.311
685	0	0	0.006	0.886	0.103	0.298
690	0	0	0.006	0.853	0.106	0.334
695	0	0	0.007	0.859	0.128	0.361
700	0	0	0.006	0.862	0.143	0.367
